لٌ lun
لا lā
لو lū
لي lī
لَ la
لِ li
لُ lu
لَي lay
لَو law
لِن lin
دٌ dun
دا dā
دو dū
دي dī
دَ da
دِ di
دُ du
دَي day
دَو daw
دِن din
بٌ bun
با bā
بو bū
بي bī
بَ ba
بِ bi
بُ bu
بَي bay
بَو baw
بِن bin
تٌ tun
تا tā
تو tū
تي tī
تَ ta
تِ ti
تُ tu
تَي tay
تَو taw
تِن tin
جٌ jun
جا jā
جو jū
جي jī
جَ ja
جِ ji
جُ ju
جَي jay
جَو jaw
جِن jin
خٌ khun
خا khā
خو khū
خي khī
خَ kha
خِ khi
خُ khu
خَي khay
خَو khaw
خِن khin
سٌ sun
سا sā
سو sū
سي sī
سَ sa
سِ si
سُ su
سَي say
سَو saw
سِن sin
شٌ shun
شا shā
شو shū
شي shī
شَ sha
شِ shi
شُ shu
شَي shay
شَو shaw
شِن shin
صٌ ṣun
صا ṣā
صو ṣū
صي ṣī
صَ ṣa
صِ ṣi
صُ ṣu
صَي ṣay
صَو ṣaw
صِن ṣin
طٌ ṭun
طا ṭā
طو ṭū
طي ṭī
طَ ṭa
طِ ṭi
طُ ṭu
طَي ṭay
طَو ṭaw
طِن ṭin
