拎 ling1
拉 laai1
囉 lo1
留 lau4
嚟 lai4
老 lou5
亂 lyun6
叻 lek1
靚 leng3
路 lou6
十 sap6
心 sam1
鎖 so2
手 sau2
西 sai1
收 sau1
船 syun4
石 sek6
生 saang1
數 sou3
而 ji4
人 jan4
喲 jo2
又 jau6
你 nei5
鳩 gau1
倦 gyun6
劇 kek6
京 ging1
做 zou6
三 saam1
心 sam1
所 so2
瘦 sau3
晒 saai3
小 siu2
酸 syun1
錫 sek3
省 saang2
數 sou3
四 sei3
先 sin1
初 co1
丑 cau2
彩 coi2
草 cou2
村 cyun1
尺 cek3
星 sing1
數 sou3
五 ng5
吳 ng4
臥 ngo6
牛 ngau4
艾 ngaai6
藕 ngau5
顏 ngaan4
逆 nik6
硬 ngaang6
誤 ng6
六 luk6
論 leon6
落 lok6
樓 lau4
黎 lai4
老 lou5
亂 lyun6
勒 lak6
冷 laang5
露 lou6
七 cat1
親 can1
錯 co3
臭 cau3
菜 coi3
草 cou2
存 cyun4
七 cat1
青 cing1
醋 cou3
八 baat3
賓 ban1
波 bo1
寶 bou2
拜 baai3
布 bou3
般 bun1
北 bak1
餅 bing2
部 bou6
九 gau2
跟 gan1
過 gwo3
久 gau2
街 gaai1
狗 gau2
卷 gyun2
極 gik6
經 ging1
够 gau3
