śoṃ
श śa
शो śo
शू śū
शै śai
शौ śau
शु śu
शे śe
शी śī
शिं śiṃ
दं daṃ
द da
दो do
दू dū
दै dai
दौ dau
दु du
दे de
दी dī
दिं diṃ
बिं biṃ
ब ba
बो bo
बू bū
बै bai
बौ bau
बु bu
बे be
बी bī
बिं biṃ
तिं tiṃ
त ta
तो to
तू tū
तै tai
तौ tau
तु tu
ते te
ती tī
तिं tiṃ
चिं ciṃ
च ca
चो co
चू cū
चै cai
चौ cau
चु cu
चे ce
ची cī
चिं ciṃ
पं paṃ
प pa
पो po
पू pū
पै pai
पौ pau
पु pu
पे pe
पी pī
पिं piṃ
षं ṣaṃ
ष ṣa
षो ṣo
षू ṣū
षै ṣai
षौ ṣau
षु ṣu
षे ṣe
षी ṣī
षिं ṣiṃ
सिं siṃ
स sa
सो so
सू sū
सै sai
सौ sau
सु su
से se
सी sī
सिं siṃ
अं aṃ
अ a
आ ā
इ i
ई ī
उ u
ऊ ū
ए e
ऐ ai
ओ o
नं naṃ
न na
नो no
नू nū
नै nai
नौ nau
नु nu
ने ne
नी nī
निं niṃ
