nú Zo
næ Zun
nö Zwo
ná Zree
né Zor
ný Zive
nó Zix
ní Zev
næt Zate
nöt Zine
tí Zote
tæ Onte
tö Twote
tá Throte
té Frote
tý Fote
tó Snote
tíu Svote
tæt Gote
töl Note
kú Twent
kæ Twun
kö Twwo
ká Three
ké Twor
ký Twive
kó Twix
kí Twev
kæt Twate
köt Twine
sú Thirt
sæ Thrun
sö Thwro
sá Threet
sé Thror
sý Thrive
só Thrix
sí Threv
sæt Thrate
söt Thrine
fú Fort
fæ Frun
fö Fro
fá Fror
fé Four
fý Five
fó Fix
fí Fev
fæt Fate
föt Fine
hú Fift
hæ Fun
hö Fwo
há Free
hé For
hý Fife
hó Fix
hí Fev
hæt Fate
höt Fine
vú Sixt
væ Skun
vö Skwo
vá Skree
vé Skor
vý Skive
vó Skix
ví Skev
væt Skate
vöt Skine
jú Svent
jæ Svun
jö Svwo
já Svree
jé Svor
jý Svive
jó Svix
jí Sven
jæt Svate
jöt Svine
þú Gate
þæ Gun
þö Gwo
þá Gree
þé Gor
þý Give
þó Gix
þí Gev
þæt Gate
þöt Gine
gú Ninte
gæ Nin
gö Nwo
gá Nree
gé Nor
gý Nive
gó Nix
gí Nev
gæt Nate
göt Nin
