唟 Lōng
唡 Lā
唢 Luō
唣 Lōu
唥 Lāi
唦 Lāo
唨 Lāu
唫 Lē
唭 Lī
唰 Lō
啨 Shōng
啩 Shā
啫 Shuō
啱 Shōu
啲 Shāi
啳 Shāo
啴 Shāu
啵 Shē
啶 Shī
啷 Shō
啿 Èng
喁 Ā
喍 Uō
喎 Ōu
喏 Āi
喐 Āo
喑 Āu
喒 Ē
喓 Ī
喔 Ō
喛 Sōng
喞 Sā
喠 Suō
喡 Sōu
喢 Sāi
喣 Sāo
喤 Sāu
喥 Sē
喦 Sī
喨 Sō
喩 Fōng
喪 Fā
喫 Fuō
喬 Fōu
喭 Fāi
單 Fāo
喯 Fāu
喰 Fē
喲 Fī
喴 Fō
喺 Wōng
喼 Wā
喿 Wuō
嗀 Wōu
嗁 Wāi
嗂 Wāo
嗃 Wāu
嗄 Wē
嗆 Wī
嗇 Wō
嗈 Liōng
嗉 Liā
嗊 Liuō
嗋 Liōu
嗌 Liāi
嗎 Liāo
嗐 Liāu
嗑 Liē
嗒 Lī
嗓 Liō
嗔 Qōng
嗕 Qā
嗗 Quō
嗘 Qōu
嗙 Qāi
嗚 Qāo
嗛 Qāu
嗜 Qē
嗞 Qī
嗠 Qō
嗡 Bōng
嗢 Bā
嗧 Buō
嗩 Bōu
嗰 Bāi
嗱 Bāo
嗲 Bāu
嗳 Bē
嗴 Bī
嗵 Bō
嗶 Jiōng
嗸 Jiā
嗹 Jiuō
嗺 Jiōu
嗻 Jiāi
嗼 Jiāo
嗿 Jiāu
嘂 Jiē
嘃 Jī
嘄 Jiō
